test_id,query,cached_query,expected_behavior,semantic_boundary,micro_distinction,difficulty_level,false_positive_risk,business_impact,linguistic_rationale,test_category,regular_source,regular_confidence,regular_precision_score,enhanced_source,enhanced_confidence,enhanced_precision_score,winner,precision_improvement
FP-001,Schedule meeting for 2:30 PM,Schedule meeting for 2:00 PM,cache_miss,temporal_precision,30-minute time difference,9,critical,Wrong meeting time causes conflicts and missed appointments,Temporal precision requires exact time matching - 30min difference is semantically distinct,temporal_granularity,llm,0.0,1.0,llm_fallback,0.0,1.0,tie,0.0
FP-002,Set reminder for next Monday,Set reminder for this Monday,cache_miss,temporal_precision,Week boundary distinction,8,high,Week confusion leads to missed deadlines,'Next Monday' vs 'this Monday' represents different temporal anchoring,temporal_anchoring,llm,0.0,1.0,llm_fallback,0.0,1.0,tie,0.0
FP-003,Book flight departing at 6:45 AM,Book flight departing at 6:45 PM,cache_miss,temporal_precision,AM/PM meridiem distinction,10,critical,12-hour time difference causes massive travel disruption,AM/PM represents fundamental temporal opposition despite identical numerical values,meridiem_precision,llm,0.0,1.0,llm_fallback,0.0,1.0,tie,0.0
FP-004,Quarterly report due in Q3,Quarterly report due in Q4,cache_miss,temporal_precision,Quarter boundary precision,7,high,Quarter confusion affects financial reporting deadlines,Quarterly designations represent distinct temporal periods with no overlap,periodic_boundaries,llm,0.0,1.0,llm_fallback,0.0,1.0,tie,0.0
FP-005,Schedule annual review in December 2024,Schedule annual review in December 2023,cache_miss,temporal_precision,Year boundary precision,6,medium,Year confusion leads to scheduling in wrong fiscal period,Annual boundaries represent absolute temporal distinctions,annual_precision,llm,0.0,1.0,llm_fallback,0.0,1.0,tie,0.0
FP-006,"Transfer $1,500 to savings account","Transfer $1,550 to savings account",cache_miss,numerical_specificity,$50 monetary difference,9,critical,Financial transfer amount precision affects account balances,Monetary values require exact precision - $50 difference is financially significant,monetary_precision,llm,0.0,1.0,llm_fallback,0.0,1.0,tie,0.0
FP-007,Set temperature to 72.5 degrees,Set temperature to 72.0 degrees,cache_miss,numerical_specificity,0.5 degree precision,8,medium,Temperature precision affects comfort and energy efficiency,Decimal precision in measurements represents distinct control commands,measurement_precision,llm,0.0,1.0,llm_fallback,0.0,1.0,tie,0.0
FP-008,Order 15 units of product SKU-2847,Order 12 units of product SKU-2847,cache_miss,numerical_specificity,3-unit quantity difference,7,high,Inventory quantity precision affects supply chain,Quantity specifications require exact matching for inventory control,quantity_precision,llm,0.0,1.0,llm_fallback,0.0,1.0,tie,0.0
FP-009,Increase budget allocation by 8.3%,Increase budget allocation by 8.5%,cache_miss,numerical_specificity,0.2% percentage precision,9,high,Percentage precision affects financial calculations significantly,Percentage values represent precise mathematical operations requiring exact specification,percentage_precision,llm,0.0,1.0,llm_fallback,0.0,1.0,tie,0.0
FP-010,Set speed limit to 65 mph,Set speed limit to 55 mph,cache_miss,numerical_specificity,10 mph speed difference,6,critical,Speed limit precision has legal and safety implications,Speed specifications represent legal boundaries with enforcement implications,regulatory_precision,llm,0.0,1.0,llm_fallback,0.0,1.0,tie,0.0
FP-011,You must submit the report by Friday,You should submit the report by Friday,cache_miss,modal_logic,Must vs should obligation level,8,high,Obligation level affects compliance requirements and urgency,"Modal verbs encode different deontic force - 'must' is obligation, 'should' is recommendation",deontic_modality,llm,0.0,1.0,llm_fallback,0.0,1.0,tie,0.0
FP-012,The system might be down for maintenance,The system will be down for maintenance,cache_miss,modal_logic,Possibility vs certainty modal distinction,9,high,Certainty level affects planning and communication strategy,"Epistemic modals encode probability - 'might' indicates uncertainty, 'will' indicates certainty",epistemic_modality,llm,0.0,1.0,llm_fallback,0.0,1.0,tie,0.0
FP-013,Could you please review the document?,Would you please review the document?,cache_hit,modal_logic,Could vs would politeness marker,4,low,Both represent equivalent polite request forms,Both 'could' and 'would' function as politeness markers in request contexts,politeness_modality,llm,0.0,0.3,llm_fallback,0.0,0.3,tie,0.0
FP-014,Employees may work remotely on Fridays,Employees can work remotely on Fridays,cache_hit,modal_logic,May vs can permission equivalence,3,low,Both express equivalent permission in workplace context,'May' and 'can' both encode permission in deontic contexts,permission_modality,llm,0.0,0.3,llm_fallback,0.0,0.3,tie,0.0
FP-015,This approach couldn't work in our environment,This approach wouldn't work in our environment,cache_miss,modal_logic,Couldn't vs wouldn't impossibility vs unwillingness,7,medium,Impossibility vs unwillingness affects solution planning,"'Couldn't' indicates incapability, 'wouldn't' indicates unwillingness or choice",negative_modality,llm,0.0,1.0,llm_fallback,0.0,1.0,tie,0.0
FP-016,Sales increased because of the new marketing campaign,Sales increased after the new marketing campaign,cache_miss,causal_relationships,Causation vs temporal correlation,8,high,Causal attribution affects strategy and resource allocation,"'Because of' indicates causation, 'after' indicates temporal sequence without causation",causation_correlation,llm,0.0,1.0,llm_fallback,0.0,1.0,tie,0.0
FP-017,Revenue dropped due to supply chain issues,Revenue dropped despite supply chain issues,cache_miss,causal_relationships,Due to vs despite causal direction,9,critical,Causal direction fundamentally affects problem analysis,"'Due to' indicates positive causation, 'despite' indicates negative expectation",causal_direction,llm,0.0,1.0,llm_fallback,0.0,1.0,tie,0.0
FP-018,Productivity improved through better training,Productivity improved with better training,cache_miss,causal_relationships,Through vs with instrumental distinction,6,medium,Instrumental relationships affect understanding of success factors,"'Through' indicates direct instrumentality, 'with' indicates accompaniment",instrumental_causation,llm,0.0,1.0,llm_fallback,0.0,1.0,tie,0.0
FP-019,The project succeeded in spite of budget cuts,The project succeeded because of budget cuts,cache_miss,causal_relationships,In spite of vs because of opposition,10,critical,Opposite causal relationships lead to contradictory strategic conclusions,"'In spite of' indicates success against odds, 'because of' indicates enabling factor",adversative_causation,llm,0.0,1.0,llm_fallback,0.0,1.0,tie,0.0
FP-020,Quality issues resulted from rushing production,Quality issues resulted in rushing production,cache_miss,causal_relationships,Resulted from vs resulted in causal direction reversal,9,critical,Causal direction reversal completely changes problem identification,"'Resulted from' indicates cause→effect, 'resulted in' indicates effect→consequence",causal_directionality,llm,0.0,1.0,llm_fallback,0.0,1.0,tie,0.0
FP-021,All employees in the engineering department must attend,All employees must attend,cache_miss,scope_boundaries,Departmental scope vs company-wide scope,7,high,Scope specification affects attendance requirements and logistics,Scope restriction 'in engineering department' limits universal quantification,quantifier_scope,llm,0.0,1.0,llm_fallback,0.0,1.0,tie,0.0
FP-022,Most customers prefer the premium version,Some customers prefer the premium version,cache_miss,scope_boundaries,Most vs some quantifier strength,8,high,Quantifier strength affects market analysis and product strategy,"'Most' implies majority (>50%), 'some' implies non-zero subset without majority claim",quantifier_strength,llm,0.0,1.0,llm_fallback,0.0,1.0,tie,0.0
FP-023,Only senior developers can access production servers,Senior developers can access production servers,cache_miss,scope_boundaries,Exclusive vs inclusive access specification,9,critical,Security scope precision affects access control and system security,"'Only' creates exclusive access, removing it allows broader access interpretation",exclusivity_scope,llm,0.0,1.0,llm_fallback,0.0,1.0,tie,0.0
FP-024,Each team member should submit individual reports,Team members should submit individual reports,cache_miss,scope_boundaries,Distributive vs collective interpretation,6,medium,Distributive scope affects individual accountability requirements,"'Each' enforces distributive reading, ensuring individual responsibility",distributive_scope,llm,0.0,1.0,llm_fallback,0.0,1.0,tie,0.0
FP-025,No unauthorized personnel are allowed in the data center,Unauthorized personnel are not allowed in the data center,cache_hit,scope_boundaries,Negative quantifier vs negated predicate equivalence,4,low,Both express equivalent access restrictions,'No X' and 'X are not' represent logically equivalent negation scopes,negation_scope,llm,0.0,0.3,llm_fallback,0.0,0.3,tie,0.0
FP-026,The manager approved the budget request,The budget request was approved by the manager,cache_hit,semantic_roles,Active vs passive voice equivalence,3,low,Both convey identical semantic content with role preservation,Active and passive voice preserve thematic roles and truth conditions,voice_alternation,cache,0.6603009880579775,0.7,llm_fallback,0.0,0.3,regular,-0.39999999999999997
FP-027,Sarah taught the new algorithm to the team,Sarah taught the team the new algorithm,cache_hit,semantic_roles,Dative vs double object construction equivalence,4,low,Both express equivalent transfer of knowledge relationship,Dative alternation preserves semantic roles in transfer events,dative_alternation,llm,0.0,0.3,llm_fallback,0.0,0.3,tie,0.0
